,Time,Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation
44,1:45:00 PM,15,Sunday,53,12,23,8,96,normal
45,10:00:00 AM,6,Monday,84,18,18,28,148,high
46,4:00:00 PM,20,Friday,81,29,5,0,115,normal
47,9:45:00 PM,5,Sunday,100,17,15,22,154,high
48,5:30:00 AM,30,Monday,101,4,3,12,120,normal
49,4:00:00 PM,12,Thursday,105,35,48,6,194,heavy
50,9:30:00 AM,23,Monday,93,21,22,29,165,high
51,4:15:00 AM,20,Friday,61,5,3,14,83,normal
52,3:30:00 PM,28,Saturday,83,18,6,15,122,normal
53,4:30:00 PM,12,Thursday,103,29,44,6,182,heavy
54,4:00:00 PM,19,Thursday,133,10,46,10,199,heavy
55,10:00:00 PM,6,Monday,16,1,1,24,42,normal
56,8:15:00 PM,6,Monday,56,16,12,9,93,low
57,2:30:00 AM,1,Wednesday,15,0,0,18,33,normal
58,12:00:00 PM,6,Monday,41,8,7,27,83,normal
59,11:30:00 AM,19,Thursday,39,7,10,30,86,normal
60,1:00:00 AM,9,Thursday,18,3,0,14,35,normal
61,1:15:00 AM,18,Wednesday,19,2,0,30,51,normal
62,6:30:00 AM,15,Sunday,139,19,50,2,210,heavy
63,2:45:00 AM,2,Thursday,17,3,1,36,57,normal
64,9:00:00 PM,21,Sunday,65,16,12,32,125,high
65,10:45:00 PM,9,Thursday,16,3,1,36,56,normal
66,9:45:00 PM,23,Monday,106,9,12,31,158,high
67,11:30:00 AM,14,Saturday,58,8,6,23,95,normal
68,7:30:00 PM,25,Wednesday,57,21,20,18,116,normal
69,6:30:00 AM,6,Monday,114,30,36,2,182,heavy
70,9:45:00 PM,15,Sunday,88,8,11,29,136,high
71,9:30:00 AM,17,Tuesday,45,24,5,23,97,normal
72,11:00:00 AM,6,Monday,63,10,8,28,109,normal
73,9:30:00 PM,2,Thursday,68,12,15,32,127,high
74,5:45:00 AM,17,Tuesday,113,7,10,16,146,normal
75,12:00:00 AM,26,Thursday,15,5,1,23,44,normal
76,1:45:00 AM,5,Sunday,18,3,0,28,49,normal
77,11:00:00 PM,13,Friday,19,1,0,31,51,normal
78,3:30:00 AM,5,Sunday,15,3,1,12,31,low
79,6:15:00 PM,25,Wednesday,148,11,42,8,209,heavy
80,4:45:00 PM,9,Thursday,115,20,27,9,171,heavy
81,10:15:00 AM,4,Saturday,34,21,39,16,110,normal
82,3:45:00 PM,10,Tuesday,101,26,8,14,149,normal
83,5:30:00 AM,6,Monday,56,11,9,15,91,normal
84,2:30:00 AM,18,Wednesday,10,0,1,24,35,normal
85,4:00:00 AM,31,Tuesday,13,0,0,16,29,normal
86,8:45:00 AM,27,Friday,52,19,0,10,81,low
87,7:00:00 PM,23,Monday,76,5,14,20,115,normal
88,4:00:00 AM,14,Saturday,15,4,0,16,35,normal
89,8:15:00 AM,9,Thursday,104,19,24,4,151,normal
90,8:15:00 AM,29,Sunday,121,35,37,3,196,heavy
91,7:00:00 PM,21,Sunday,85,14,14,13,126,normal
92,10:30:00 AM,29,Sunday,93,14,10,25,142,high
93,4:30:00 AM,13,Friday,33,11,6,13,63,normal
94,6:00:00 AM,26,Thursday,106,27,45,5,183,heavy
95,2:45:00 PM,2,Thursday,16,18,40,6,80,normal
96,11:45:00 PM,1,Wednesday,14,1,1,17,33,normal
97,6:45:00 AM,28,Saturday,130,31,22,0,183,heavy
98,11:00:00 AM,25,Wednesday,27,7,10,22,66,normal
99,1:30:00 PM,7,Tuesday,101,21,34,18,174,heavy
100,7:00:00 PM,24,Tuesday,64,25,11,15,115,normal
101,2:15:00 AM,12,Thursday,18,1,0,24,43,normal
102,11:30:00 PM,6,Monday,18,3,0,32,53,normal
103,10:00:00 AM,8,Wednesday,42,25,37,12,116,high
104,7:30:00 PM,19,Thursday,94,25,19,8,146,normal
105,1:15:00 AM,26,Thursday,11,4,0,32,47,normal
106,11:30:00 AM,2,Thursday,34,5,4,29,72,normal
107,5:30:00 AM,21,Sunday,51,7,4,5,67,low
108,7:00:00 PM,18,Wednesday,103,14,13,9,139,normal
109,3:15:00 PM,21,Sunday,44,16,9,13,82,normal
110,1:45:00 AM,7,Tuesday,13,5,0,20,38,normal
111,10:15:00 AM,28,Saturday,37,21,28,6,92,normal
112,4:15:00 AM,27,Friday,39,14,0,15,68,normal
113,10:45:00 AM,31,Tuesday,50,22,24,7,103,normal
114,9:45:00 AM,7,Tuesday,31,10,40,9,90,normal
115,11:45:00 PM,15,Sunday,11,0,1,11,23,low
116,1:30:00 AM,9,Thursday,17,1,1,13,32,normal
117,1:30:00 AM,20,Friday,18,4,0,18,40,normal
118,11:45:00 PM,2,Thursday,13,3,0,22,38,normal
119,8:15:00 AM,31,Tuesday,110,34,35,0,179,heavy
120,12:15:00 PM,10,Tuesday,57,8,12,29,106,normal
121,11:30:00 PM,5,Sunday,18,5,1,20,44,normal
122,3:15:00 PM,7,Tuesday,99,26,8,11,144,normal
123,2:00:00 AM,1,Wednesday,17,1,0,29,47,normal
124,8:15:00 PM,23,Monday,54,9,15,7,85,low
125,1:45:00 PM,6,Monday,24,15,26,13,78,normal
126,4:00:00 AM,10,Tuesday,111,28,20,3,162,normal
127,3:30:00 AM,2,Thursday,17,5,1,15,38,normal
128,3:00:00 PM,29,Sunday,53,27,27,17,124,high
129,3:30:00 AM,15,Sunday,20,1,1,39,61,normal
130,4:30:00 AM,7,Tuesday,60,12,8,15,95,normal
131,7:30:00 AM,12,Thursday,114,20,43,1,178,heavy
132,6:30:00 PM,27,Friday,60,29,22,2,113,normal
133,9:30:00 PM,10,Tuesday,75,15,12,21,123,high
134,2:30:00 AM,17,Tuesday,10,2,0,27,39,normal
135,4:30:00 PM,20,Friday,71,24,18,2,115,normal
136,12:00:00 AM,16,Monday,18,4,1,28,51,normal
137,2:15:00 AM,17,Tuesday,12,5,1,19,37,normal
138,7:45:00 PM,2,Thursday,78,13,20,25,136,high
139,4:00:00 PM,7,Tuesday,120,32,39,9,200,heavy
140,7:15:00 AM,29,Sunday,124,14,31,4,173,heavy
141,6:30:00 PM,30,Monday,134,23,49,8,214,heavy
142,3:15:00 AM,30,Monday,14,0,0,15,29,normal
143,3:00:00 PM,14,Saturday,15,11,30,14,70,normal
144,12:45:00 AM,25,Wednesday,19,5,1,22,47,normal
145,11:45:00 AM,22,Saturday,36,9,14,22,81,normal
146,11:30:00 PM,29,Sunday,11,5,1,19,36,normal
147,4:30:00 PM,2,Thursday,110,31,37,7,185,heavy
148,4:45:00 PM,17,Tuesday,126,15,28,6,175,heavy
149,2:15:00 AM,3,Friday,12,3,0,22,37,normal
150,10:30:00 PM,9,Thursday,11,4,0,23,38,normal
151,5:30:00 AM,25,Wednesday,59,25,2,7,93,low
152,1:45:00 PM,4,Saturday,114,11,40,20,185,heavy
153,4:15:00 PM,14,Saturday,150,30,22,5,207,heavy
154,9:00:00 AM,7,Tuesday,126,31,48,2,207,heavy
155,1:30:00 PM,21,Sunday,46,24,35,16,121,high
156,4:15:00 PM,30,Monday,122,21,20,10,173,heavy
157,7:00:00 AM,18,Wednesday,141,15,21,5,182,heavy
158,2:00:00 PM,18,Wednesday,96,22,36,5,159,high
159,3:00:00 AM,22,Saturday,13,1,1,33,48,normal
160,12:00:00 PM,2,Thursday,48,10,13,23,94,normal
161,8:15:00 AM,27,Friday,28,18,5,10,61,low
162,11:30:00 PM,21,Sunday,11,1,1,36,49,normal
163,12:15:00 AM,1,Wednesday,17,5,0,23,45,normal
164,8:00:00 PM,19,Thursday,105,16,15,6,142,normal
165,7:15:00 PM,20,Friday,36,8,3,9,56,low
166,10:45:00 AM,11,Wednesday,55,15,36,15,121,high
167,5:15:00 PM,17,Tuesday,100,21,33,7,161,high
168,2:15:00 AM,2,Thursday,11,0,1,36,48,normal
169,8:30:00 PM,6,Monday,77,6,20,5,108,normal
170,8:45:00 AM,10,Tuesday,107,10,49,2,168,heavy
171,6:45:00 AM,18,Wednesday,113,24,22,2,161,normal
172,7:45:00 AM,9,Thursday,146,22,26,4,198,heavy
173,7:15:00 PM,26,Thursday,81,21,19,7,128,normal
174,4:45:00 PM,8,Wednesday,140,25,46,10,221,heavy
175,12:00:00 AM,6,Monday,11,3,0,26,40,normal
176,10:30:00 PM,23,Monday,12,0,0,22,34,normal
177,4:45:00 PM,19,Thursday,127,25,37,5,194,heavy
178,2:15:00 PM,23,Monday,56,18,29,17,120,high
179,4:45:00 AM,29,Sunday,55,4,7,13,79,normal
180,12:15:00 PM,13,Friday,162,46,19,2,229,heavy
181,9:15:00 AM,4,Saturday,30,24,13,13,80,normal
182,10:30:00 PM,2,Thursday,12,0,0,12,24,low
183,7:00:00 AM,12,Thursday,125,30,48,1,204,heavy
184,3:45:00 PM,9,Thursday,79,28,35,13,155,high
185,4:45:00 PM,29,Sunday,149,28,20,10,207,heavy
186,5:00:00 AM,6,Monday,81,16,7,14,118,normal
187,6:00:00 AM,7,Tuesday,121,22,30,0,173,heavy
188,6:45:00 PM,13,Friday,65,25,1,1,92,low
189,1:15:00 PM,16,Monday,61,30,5,20,116,normal
190,10:45:00 PM,1,Wednesday,10,3,1,23,37,normal
191,11:30:00 PM,1,Wednesday,11,0,1,23,35,normal
192,3:45:00 PM,25,Wednesday,84,20,25,15,144,normal
193,6:00:00 PM,19,Thursday,121,16,42,8,187,heavy
194,5:45:00 AM,28,Saturday,66,3,9,19,97,normal
195,12:45:00 AM,4,Saturday,18,3,0,19,40,normal
196,4:15:00 PM,26,Thursday,136,10,27,7,180,heavy
197,1:15:00 PM,3,Friday,174,54,25,1,254,heavy
198,10:00:00 PM,17,Tuesday,14,1,1,22,38,normal
199,11:00:00 PM,31,Tuesday,12,2,1,28,43,normal
200,2:00:00 PM,29,Sunday,56,14,38,12,120,high
201,1:45:00 AM,20,Friday,18,1,1,12,32,low
202,9:45:00 PM,18,Wednesday,105,14,16,33,168,heavy
203,7:30:00 PM,15,Sunday,102,25,12,24,163,high
204,7:15:00 AM,4,Saturday,128,31,26,0,185,heavy
205,6:00:00 AM,27,Friday,76,14,1,12,103,low
206,6:45:00 AM,24,Tuesday,120,31,29,5,185,heavy
207,11:45:00 AM,27,Friday,161,53,11,1,226,heavy
208,12:15:00 AM,26,Thursday,18,0,0,31,49,normal
209,5:00:00 AM,24,Tuesday,119,25,10,9,163,normal
210,11:15:00 PM,26,Thursday,17,4,1,25,47,normal
211,8:00:00 PM,5,Sunday,53,19,11,18,101,normal
212,7:45:00 PM,5,Sunday,97,22,17,13,149,normal
213,6:30:00 AM,5,Sunday,119,31,36,5,191,heavy
214,5:15:00 AM,6,Monday,94,1,9,3,107,low
215,4:15:00 AM,26,Thursday,102,20,4,12,138,normal
216,3:45:00 PM,7,Tuesday,114,26,16,20,176,heavy
217,2:45:00 AM,15,Sunday,10,1,1,12,24,low
218,11:45:00 PM,28,Saturday,17,2,0,18,37,normal
219,3:00:00 AM,2,Thursday,13,1,1,13,28,normal
220,5:30:00 PM,19,Thursday,123,36,34,5,198,heavy
221,5:00:00 PM,1,Wednesday,146,18,49,9,222,heavy
222,3:15:00 PM,6,Monday,106,10,9,8,133,normal
223,10:00:00 PM,21,Sunday,11,3,0,34,48,normal
224,3:00:00 PM,4,Saturday,112,16,30,11,169,heavy
225,5:15:00 AM,29,Sunday,66,16,9,19,110,normal
226,6:15:00 AM,4,Saturday,140,35,50,0,225,heavy
227,6:45:00 PM,24,Tuesday,71,17,15,31,134,high
228,3:00:00 AM,23,Monday,20,1,1,16,38,normal
229,12:30:00 PM,15,Sunday,48,8,15,23,94,normal
230,12:00:00 PM,18,Wednesday,35,5,12,20,72,normal
231,2:45:00 PM,7,Tuesday,119,13,32,7,171,heavy
232,7:30:00 AM,10,Tuesday,114,37,21,5,177,heavy
233,7:00:00 AM,5,Sunday,103,27,21,4,155,normal
234,6:45:00 PM,3,Friday,87,21,16,0,124,normal
235,6:15:00 PM,19,Thursday,119,38,47,7,211,heavy
236,3:15:00 PM,2,Thursday,21,15,33,12,81,normal
237,11:45:00 AM,16,Monday,44,9,10,24,87,normal
238,4:30:00 AM,1,Wednesday,78,11,10,18,117,normal
239,5:15:00 AM,16,Monday,111,14,10,14,149,normal
240,11:30:00 AM,12,Thursday,59,9,12,26,106,normal
241,5:30:00 AM,15,Sunday,93,5,4,1,103,low
242,2:30:00 AM,4,Saturday,18,5,0,18,41,normal
243,7:00:00 AM,1,Wednesday,138,21,28,1,188,heavy
244,3:30:00 AM,30,Monday,16,0,0,16,32,normal
245,6:15:00 PM,26,Thursday,120,24,36,5,185,heavy
246,4:15:00 AM,1,Wednesday,56,21,3,0,80,low
247,4:30:00 PM,31,Tuesday,117,28,33,10,188,heavy
248,11:30:00 AM,7,Tuesday,44,5,11,23,83,normal
249,6:00:00 PM,30,Monday,109,21,24,10,164,normal
250,8:15:00 AM,26,Thursday,104,10,48,2,164,high
251,11:15:00 AM,10,Tuesday,58,8,14,29,109,normal
252,2:45:00 AM,19,Thursday,15,4,0,14,33,normal
253,3:45:00 AM,1,Wednesday,14,1,0,12,27,low
254,5:45:00 PM,3,Friday,54,27,21,2,104,normal
255,6:45:00 PM,28,Saturday,66,8,11,9,94,low
256,11:30:00 AM,25,Wednesday,49,10,6,27,92,normal
257,9:30:00 AM,19,Thursday,75,2,18,29,124,high
258,7:45:00 PM,21,Sunday,75,8,16,25,124,high
259,5:15:00 PM,9,Thursday,102,20,31,5,158,high
260,8:00:00 PM,9,Thursday,72,25,10,27,134,high
261,4:30:00 PM,11,Wednesday,142,13,37,8,200,heavy
262,7:15:00 AM,17,Tuesday,117,30,26,5,178,heavy
263,8:45:00 AM,18,Wednesday,141,15,32,4,192,heavy
264,3:15:00 AM,9,Thursday,18,2,0,19,39,normal
265,6:15:00 PM,10,Tuesday,123,10,29,8,170,heavy
266,3:15:00 AM,10,Tuesday,34,0,4,4,42,low
267,10:45:00 AM,4,Saturday,73,12,32,5,122,high
268,7:30:00 AM,20,Friday,75,6,1,10,92,low
269,5:30:00 AM,1,Wednesday,87,24,6,19,136,normal
270,11:15:00 PM,30,Monday,14,1,0,27,42,normal
271,9:15:00 AM,30,Monday,84,24,12,28,148,high
272,8:15:00 PM,13,Friday,28,7,2,4,41,low
273,11:15:00 AM,19,Thursday,49,5,10,21,85,normal
274,9:45:00 PM,22,Saturday,79,22,17,13,131,normal
275,2:45:00 AM,4,Saturday,12,4,0,11,27,low
276,10:45:00 PM,22,Saturday,16,3,1,37,57,normal
277,10:15:00 AM,29,Sunday,26,15,25,6,72,normal
278,3:15:00 AM,21,Sunday,10,0,0,32,42,normal
279,9:00:00 PM,14,Saturday,110,14,17,8,149,normal
280,2:30:00 PM,1,Wednesday,91,22,34,8,155,high
281,10:45:00 PM,8,Wednesday,12,3,0,40,55,normal
282,1:45:00 AM,12,Thursday,18,1,1,16,36,normal
283,6:15:00 PM,2,Thursday,136,32,41,7,216,heavy
284,8:45:00 AM,6,Monday,139,30,35,4,208,heavy
285,11:00:00 PM,1,Wednesday,12,4,0,31,47,normal
286,7:15:00 PM,2,Thursday,63,23,19,34,139,high
287,2:15:00 PM,31,Tuesday,60,19,14,7,100,low
288,9:30:00 PM,22,Saturday,72,10,10,29,121,high
289,5:45:00 PM,28,Saturday,114,32,45,6,197,heavy
290,10:00:00 AM,13,Friday,131,43,20,3,197,heavy
291,5:30:00 AM,14,Saturday,93,17,8,12,130,normal
292,3:00:00 PM,1,Wednesday,108,12,23,8,151,normal
293,6:00:00 AM,10,Tuesday,129,22,42,1,194,heavy
294,12:45:00 PM,3,Friday,136,49,15,1,201,heavy
295,1:45:00 AM,18,Wednesday,15,3,0,35,53,normal
296,11:45:00 PM,21,Sunday,10,2,1,15,28,normal
297,5:45:00 PM,8,Wednesday,137,40,28,9,214,heavy
298,2:00:00 PM,5,Sunday,120,12,40,13,185,heavy
299,11:15:00 AM,23,Monday,25,5,14,26,70,normal
300,1:00:00 PM,29,Sunday,46,6,7,21,80,normal
301,10:30:00 AM,24,Tuesday,64,10,17,23,114,high
302,4:45:00 AM,17,Tuesday,101,3,6,6,116,normal
303,11:30:00 PM,17,Tuesday,12,0,1,34,47,normal
304,3:00:00 AM,31,Tuesday,17,1,0,34,52,normal
305,8:00:00 PM,23,Monday,67,23,14,13,117,normal
306,10:30:00 AM,4,Saturday,72,24,10,9,115,normal
307,8:45:00 PM,12,Thursday,80,14,20,6,120,normal
308,4:45:00 AM,27,Friday,77,8,7,15,107,normal
309,11:30:00 PM,24,Tuesday,16,3,1,26,46,normal
310,4:15:00 PM,24,Tuesday,121,24,31,6,182,heavy
311,1:30:00 AM,23,Monday,13,1,1,16,31,normal
312,11:45:00 PM,26,Thursday,20,0,1,12,33,low
313,9:30:00 AM,22,Saturday,34,5,27,22,88,normal
314,3:00:00 PM,24,Tuesday,47,21,9,18,95,normal
315,9:00:00 AM,15,Sunday,113,35,48,3,199,heavy
316,5:15:00 PM,19,Thursday,147,19,31,8,205,heavy
317,4:45:00 AM,16,Monday,94,4,5,2,105,low
318,1:45:00 AM,14,Saturday,17,1,1,25,44,normal
319,7:30:00 AM,7,Tuesday,142,25,34,5,206,heavy
320,6:30:00 PM,26,Thursday,126,34,38,9,207,heavy
321,12:30:00 AM,14,Saturday,14,0,1,19,34,normal
322,12:15:00 PM,4,Saturday,53,9,15,25,102,normal
323,12:30:00 PM,18,Wednesday,22,9,10,21,62,normal
324,8:15:00 AM,14,Saturday,125,32,38,4,199,heavy
325,11:45:00 AM,26,Thursday,35,7,15,24,81,normal
326,12:00:00 AM,2,Thursday,12,5,1,38,56,normal
327,12:30:00 PM,19,Thursday,66,9,7,24,106,normal
328,1:15:00 AM,16,Monday,14,4,1,28,47,normal
329,8:30:00 AM,17,Tuesday,110,24,26,4,164,high
330,4:00:00 AM,5,Sunday,11,4,0,20,35,normal
331,3:15:00 PM,30,Monday,42,22,5,9,78,low
332,6:45:00 AM,1,Wednesday,101,23,41,5,170,heavy
333,1:00:00 AM,22,Saturday,20,4,1,17,42,normal
334,2:15:00 PM,27,Friday,149,61,16,1,227,heavy
335,3:30:00 PM,22,Saturday,118,15,27,13,173,heavy
336,2:30:00 PM,9,Thursday,60,23,10,20,113,normal
337,2:00:00 AM,7,Tuesday,14,0,1,37,52,normal
338,3:30:00 PM,1,Wednesday,76,28,39,14,157,high
339,5:45:00 PM,19,Thursday,111,24,25,5,165,normal
340,12:45:00 PM,30,Monday,37,9,8,20,74,normal
341,2:15:00 AM,11,Wednesday,14,4,1,10,29,low
342,11:15:00 AM,22,Saturday,63,5,8,23,99,normal
343,1:00:00 AM,20,Friday,12,4,0,29,45,normal
344,4:15:00 PM,29,Sunday,144,28,24,8,204,heavy
345,3:30:00 AM,16,Monday,10,3,1,23,37,normal
346,9:15:00 PM,28,Saturday,79,20,15,18,132,normal
347,4:00:00 PM,24,Tuesday,100,21,45,9,175,heavy
348,3:30:00 PM,19,Thursday,56,29,16,16,117,normal
349,9:45:00 PM,6,Monday,88,15,19,14,136,normal
350,6:45:00 PM,23,Monday,51,8,18,18,95,normal
351,5:30:00 PM,11,Wednesday,118,23,38,10,189,heavy
352,7:30:00 PM,21,Sunday,108,5,15,22,150,high
353,1:15:00 AM,14,Saturday,19,1,0,19,39,normal
354,5:30:00 AM,8,Wednesday,109,0,3,8,120,normal
355,1:30:00 AM,14,Saturday,18,5,0,26,49,normal
356,4:15:00 AM,21,Sunday,97,23,6,17,143,normal
357,9:15:00 AM,21,Sunday,65,19,16,11,111,normal
358,8:00:00 AM,2,Thursday,126,10,26,4,166,high
359,5:15:00 PM,18,Wednesday,104,29,32,7,172,heavy
360,5:15:00 AM,22,Saturday,87,23,5,0,115,normal
361,12:45:00 AM,26,Thursday,13,2,0,32,47,normal
362,8:30:00 PM,1,Wednesday,59,7,15,20,101,normal
363,3:45:00 AM,2,Thursday,19,3,0,13,35,normal
364,3:30:00 AM,6,Monday,20,1,0,29,50,normal
365,1:15:00 PM,13,Friday,156,42,12,3,213,heavy
366,6:45:00 PM,22,Saturday,96,7,13,30,146,high
367,1:00:00 AM,26,Thursday,16,1,0,38,55,normal
368,7:45:00 PM,13,Friday,31,11,1,12,55,low
369,1:15:00 AM,20,Friday,19,4,1,30,54,normal
370,11:00:00 PM,17,Tuesday,13,4,0,28,45,normal
371,1:45:00 AM,22,Saturday,15,0,1,16,32,normal
372,12:15:00 PM,12,Thursday,48,10,9,29,96,normal
373,9:45:00 PM,4,Saturday,106,22,16,18,162,normal
374,12:15:00 AM,3,Friday,11,1,0,27,39,normal
375,9:30:00 AM,1,Wednesday,37,16,13,29,95,normal
376,4:00:00 PM,30,Monday,137,14,41,10,202,heavy
377,2:30:00 AM,27,Friday,12,0,0,11,23,low
378,11:30:00 AM,20,Friday,151,64,16,0,231,heavy
379,10:45:00 PM,10,Tuesday,11,1,0,29,41,normal
380,10:30:00 AM,30,Monday,55,25,33,21,134,high
381,12:00:00 PM,13,Friday,144,68,20,0,232,heavy
382,7:15:00 AM,7,Tuesday,119,39,24,1,183,heavy
383,5:15:00 PM,28,Saturday,125,14,26,5,170,heavy
384,6:00:00 PM,7,Tuesday,144,13,40,10,207,heavy
385,4:45:00 PM,23,Monday,129,10,39,6,184,heavy
386,12:00:00 AM,18,Wednesday,12,3,0,38,53,normal
387,8:30:00 AM,14,Saturday,101,23,38,1,163,high
388,1:45:00 PM,18,Wednesday,100,27,23,16,166,normal
389,3:30:00 PM,25,Wednesday,67,22,7,5,101,low
390,2:45:00 PM,25,Wednesday,97,17,38,20,172,heavy
391,3:15:00 AM,4,Saturday,20,1,0,28,49,normal
392,4:45:00 PM,31,Tuesday,144,36,49,10,239,heavy
393,11:00:00 PM,27,Friday,17,5,1,31,54,normal
394,8:30:00 AM,30,Monday,149,16,49,1,215,heavy
395,7:45:00 AM,18,Wednesday,149,24,33,1,207,heavy
396,11:45:00 AM,2,Thursday,63,5,6,20,94,normal
397,1:45:00 AM,13,Friday,16,2,1,21,40,normal
398,2:15:00 AM,26,Thursday,17,1,1,22,41,normal
399,6:30:00 PM,14,Saturday,117,20,22,9,168,heavy
400,6:00:00 PM,5,Sunday,142,27,30,5,204,heavy
401,5:45:00 AM,4,Saturday,96,7,6,4,113,normal
402,5:30:00 AM,20,Friday,29,12,1,13,55,normal
403,12:30:00 PM,7,Tuesday,20,6,5,27,58,normal
404,7:00:00 PM,25,Wednesday,75,9,14,6,104,low
405,8:45:00 AM,16,Monday,129,24,25,0,178,heavy
406,5:15:00 AM,21,Sunday,77,27,8,10,122,normal
407,9:30:00 AM,29,Sunday,40,14,18,21,93,normal
408,12:45:00 AM,16,Monday,16,4,0,35,55,normal
409,12:30:00 AM,5,Sunday,11,5,0,22,38,normal
410,11:45:00 PM,7,Tuesday,12,3,0,28,43,normal
411,12:45:00 PM,17,Tuesday,34,8,10,23,75,normal
412,4:30:00 PM,14,Saturday,142,23,25,7,197,heavy
413,9:15:00 AM,24,Tuesday,29,10,21,12,72,normal
414,11:00:00 AM,1,Wednesday,32,5,3,21,61,normal
415,9:00:00 PM,6,Monday,105,14,13,32,164,high
416,10:45:00 AM,3,Friday,144,44,16,3,207,heavy
417,2:15:00 PM,30,Monday,40,14,31,19,104,normal
418,12:15:00 PM,30,Monday,48,6,14,28,96,normal
419,3:30:00 AM,28,Saturday,15,0,0,30,45,normal
420,10:30:00 PM,27,Friday,19,0,1,17,37,normal
421,7:00:00 PM,7,Tuesday,56,5,17,14,92,normal
422,2:45:00 AM,31,Tuesday,16,1,0,15,32,normal
423,7:15:00 AM,8,Wednesday,111,18,32,4,165,high
424,5:00:00 PM,31,Tuesday,137,19,23,9,188,heavy
425,8:00:00 AM,17,Tuesday,146,10,30,3,189,heavy
426,12:30:00 PM,26,Thursday,34,8,6,30,78,normal
427,8:30:00 PM,9,Thursday,67,19,11,8,105,low
428,10:45:00 AM,16,Monday,10,7,5,14,36,normal
429,1:30:00 AM,7,Tuesday,19,4,1,21,45,normal
430,2:00:00 AM,2,Thursday,12,3,0,39,54,normal
431,10:15:00 PM,3,Friday,19,3,1,35,58,normal
432,12:00:00 PM,16,Monday,63,8,15,24,110,normal
433,1:30:00 AM,8,Wednesday,18,1,1,25,45,normal
434,7:30:00 PM,23,Monday,50,25,19,9,103,normal
435,5:45:00 AM,30,Monday,106,9,3,10,128,normal
436,6:00:00 AM,28,Saturday,104,32,23,5,164,normal
437,4:30:00 PM,21,Sunday,114,25,21,7,167,normal
438,2:15:00 AM,4,Saturday,10,1,0,11,22,low
439,7:00:00 AM,16,Monday,106,22,37,0,165,high
440,12:15:00 AM,12,Thursday,18,4,0,30,52,normal
441,3:15:00 AM,19,Thursday,12,4,0,31,47,normal
442,12:15:00 PM,7,Tuesday,29,7,3,28,67,normal
443,5:15:00 AM,10,Tuesday,67,29,5,10,111,low
444,9:15:00 PM,4,Saturday,74,19,15,24,132,high
445,6:45:00 PM,6,Monday,73,5,20,10,108,normal
446,5:15:00 PM,15,Sunday,127,36,42,9,214,heavy
